first,second,third
,,
Geographical Region,South America,Argentina
,,
Geographical Region,South America,Bolivia (Plurinational State of)
,,
Geographical Region,South America,Brazil
,,
Geographical Region,South America,Chile
,,
Geographical Region,South America,Colombia
,,
Geographical Region,South America,Ecuador
,,
Geographical Region,South America,Guyana
,,
Geographical Region,South America,Paraguay
,,
Geographical Region,South America,Peru
,,
Geographical Region,South America,Suriname
,,
Geographical Region,South America,Uruguay
,,
Geographical Region,South America,Venezuela (Bolivarian Republic of)
,,
Geographical Region,Eastern Africa,Burundi
,,
Geographical Region,Eastern Africa,Comoros
,,
Geographical Region,Eastern Africa,Djibouti
,,
Geographical Region,Eastern Africa,Eritrea
,,
Geographical Region,Eastern Africa,Ethiopia
,,
Geographical Region,Eastern Africa,Kenya
,,
Geographical Region,Eastern Africa,Madagascar
,,
Geographical Region,Eastern Africa,Malawi
,,
Geographical Region,Eastern Africa,Mauritius
,,
Geographical Region,Eastern Africa,Mozambique
,,
Geographical Region,Eastern Africa,Rwanda
,,
Geographical Region,Eastern Africa,Seychelles
,,
Geographical Region,Eastern Africa,Somalia
,,
Geographical Region,Eastern Africa,Uganda
,,
Geographical Region,Eastern Africa,United Republic of Tanzania
,,
Geographical Region,Eastern Africa,Zambia
,,
Geographical Region,Eastern Africa,Zimbabwe
,,
Geographical Region,Caribbean,Antigua and Barbuda
,,
Geographical Region,Caribbean,Bahamas
,,
Geographical Region,Caribbean,Barbados
,,
Geographical Region,Caribbean,Cuba
,,
Geographical Region,Caribbean,Dominica
,,
Geographical Region,Caribbean,Dominican Republic
,,
Geographical Region,Caribbean,Grenada
,,
Geographical Region,Caribbean,Haiti
,,
Geographical Region,Caribbean,Jamaica
,,
Geographical Region,Caribbean,Saint Kitts and Nevis
,,
Geographical Region,Caribbean,Saint Lucia
,,
Geographical Region,Caribbean,Saint Vincent and the Grenadines
,,
Geographical Region,Caribbean,Trinidad and Tobago
,,
Geographical Region,Central America,Belize
,,
Geographical Region,Central America,Costa Rica
,,
Geographical Region,Central America,El Salvador
,,
Geographical Region,Central America,Guatemala
,,
Geographical Region,Central America,Honduras
,,
Geographical Region,Central America,Mexico
,,
Geographical Region,Central America,Nicaragua
,,
Geographical Region,Central America,Panama
,,
Geographical Region,Central Asia,Kazakhstan
,,
Geographical Region,Central Asia,Kyrgyzstan
,,
Geographical Region,Central Asia,Tajikistan
,,
Geographical Region,Central Asia,Turkmenistan
,,
Geographical Region,Central Asia,Uzbekistan
,,
Geographical Region,Asia,Afghanistan
,,
Geographical Region,Asia,Armenia
,,
Geographical Region,Asia,Azerbaijan
,,
Geographical Region,Asia,Bahrain
,,
Geographical Region,Asia,Bangladesh
,,
Geographical Region,Asia,Bhutan
,,
Geographical Region,Asia,Brunei Darussalam
,,
Geographical Region,Asia,Cambodia
,,
Geographical Region,Asia,China
,,
Geographical Region,Asia,Cyprus
,,
